Gemeinde|Art|Landkreis|Bezirk|AGS
Malgersdorf|Gemeinde|Rottal-Inn|Niederbayern|09-277-131
Mallersdorf-Pfaffenberg|Markt|Straubing-Bogen|Niederbayern|09-278-148
Mammendorf|Gemeinde|Fürstenfeldbruck|Oberbayern|09-179-136
Mamming|Gemeinde|Dingolfing-Landau|Niederbayern|09-279-125
Manching|Markt|Pfaffenhofen an der Ilm|Oberbayern|09-186-137
Mantel|Markt|Neustadt an der Waldnaab|Oberpfalz|09-374-134
Margetshöchheim|Gemeinde|Würzburg|Unterfranken|09-679-161
Mariaposching|Gemeinde|Straubing-Bogen|Niederbayern|09-278-149
Marklkofen|Gemeinde|Dingolfing-Landau|Niederbayern|09-279-126
Markt Berolzheim|Markt|Weißenburg-Gunzenhausen|Mittelfranken|09-577-149
Markt Bibart|Markt|Aisch-Bad Windsheim|Mittelfranken|09-575-144
Markt Einersheim|Markt|Kitzingen|Unterfranken|09-675-148
Markt Erlbach|Markt|Aisch-Bad Windsheim|Mittelfranken|09-575-145
Markt Indersdorf|Markt|Dachau|Oberbayern|09-174-131
Markt Nordheim|Markt|Aisch-Bad Windsheim|Mittelfranken|09-575-146
Markt Rettenbach|Markt|Unterallgäu|Schwaben|09-778-168
Markt Schwaben|Markt|Ebersberg|Oberbayern|09-175-127
Markt Taschendorf|Markt|Aisch-Bad Windsheim|Mittelfranken|09-575-147
Markt Wald|Markt|Unterallgäu|Schwaben|09-778-169
Marktbergel|Markt|Aisch-Bad Windsheim|Mittelfranken|09-575-143
Marktbreit|Stadt|Kitzingen|Unterfranken|09-675-147
Marktgraitz|Markt|Lichtenfels|Oberfranken|09-478-143
Marktheidenfeld|Stadt|Main-Spessart|Unterfranken|09-677-157
Marktl|Markt|Altötting|Oberbayern|09-171-123
Marktleugast|Markt|Kulmbach|Oberfranken|09-477-138
Marktleuthen|Stadt|Wunsiedel im Fichtelgebirge|Oberfranken|09-479-135
Marktoberdorf|Stadt|Ostallgäu|Schwaben|09-777-151
Marktoffingen|Gemeinde|Donau-Ries|Schwaben|09-779-177
Marktredwitz|Große Kreisstadt|Wunsiedel im Fichtelgebirge|Oberfranken|09-479-136
Marktrodach|Markt|Kronach|Oberfranken|09-476-183
Marktschellenberg|Markt|Berchtesgadener Land|Oberbayern|09-172-124
Marktschorgast|Markt|Kulmbach|Oberfranken|09-477-139
Marktsteft|Stadt|Kitzingen|Unterfranken|09-675-149
Marktzeuln|Markt|Lichtenfels|Oberfranken|09-478-144
Marloffstein|Gemeinde|Erlangen-Höchstadt|Mittelfranken|09-572-141
Maroldsweisach|Markt|Haßberge|Unterfranken|09-674-171
Marquartstein|Gemeinde|Traunstein|Oberbayern|09-189-129
Martinsheim|Gemeinde|Kitzingen|Unterfranken|09-675-150
Marxheim|Gemeinde|Donau-Ries|Schwaben|09-779-178
Marzling|Gemeinde|Freising|Oberbayern|09-178-140
Maßbach|Markt|Bad Kissingen|Unterfranken|09-672-131
Massing|Markt|Rottal-Inn|Niederbayern|09-277-133
Mauern|Gemeinde|Freising|Oberbayern|09-178-142
Mauerstetten|Gemeinde|Ostallgäu|Schwaben|09-777-152
Mauth|Gemeinde|Freyung-Grafenau|Niederbayern|09-272-134
Maxhütte-Haidhof|Stadt|Schwandorf|Oberpfalz|09-376-141
Medlingen|Gemeinde|Dillingen an der Donau|Schwaben|09-773-153
Meeder|Gemeinde|Coburg|Oberfranken|09-473-144
Megesheim|Gemeinde|Donau-Ries|Schwaben|09-779-180
Mehlmeisel|Gemeinde|Bayreuth|Oberfranken|09-472-164
Mehring|Gemeinde|Altötting|Oberbayern|09-171-124
Meinheim|Gemeinde|Weißenburg-Gunzenhausen|Mittelfranken|09-577-150
Meitingen|Markt|Augsburg|Schwaben|09-772-177
Mellrichstadt|Stadt|Rhön-Grabfeld|Unterfranken|09-673-142
Memmelsdorf|Gemeinde|Bamberg|Oberfranken|09-471-159
Memmingerberg|Gemeinde|Unterallgäu|Schwaben|09-778-171
Mengkofen|Gemeinde|Dingolfing-Landau|Niederbayern|09-279-127
Merching|Gemeinde|Aichach-Friedberg|Schwaben|09-771-145
Mering|Markt|Aichach-Friedberg|Schwaben|09-771-146
Merkendorf|Stadt|Ansbach|Mittelfranken|09-571-177
Mertingen|Gemeinde|Donau-Ries|Schwaben|09-779-181
Mespelbrunn|Gemeinde|Aschaffenburg|Unterfranken|09-671-141
Metten|Markt|Deggendorf|Niederbayern|09-271-132
Mettenheim|Gemeinde|Mühldorf am Inn|Oberbayern|09-183-127
Michelau in Oberfranken|Gemeinde|Lichtenfels|Oberfranken|09-478-145
Michelau im Steigerwald|Gemeinde|Schweinfurt|Unterfranken|09-678-157
Michelsneukirchen|Gemeinde|Cham|Oberpfalz|09-372-142
Mickhausen|Gemeinde|Augsburg|Schwaben|09-772-178
Miesbach|Stadt|Miesbach|Oberbayern|09-182-125
Miltach|Gemeinde|Cham|Oberpfalz|09-372-143
Miltenberg|Stadt|Miltenberg|Unterfranken|09-676-139
Mindelheim|Stadt|Unterallgäu|Schwaben|09-778-173
Mindelstetten|Gemeinde|Eichstätt|Oberbayern|09-176-147
Mintraching|Gemeinde|Regensburg|Oberpfalz|09-375-170
Missen-Wilhams|Gemeinde|Oberallgäu|Schwaben|09-780-127
Mistelbach|Gemeinde|Bayreuth|Oberfranken|09-472-166
Mistelgau|Gemeinde|Bayreuth|Oberfranken|09-472-167
Mitteleschenbach|Gemeinde|Ansbach|Mittelfranken|09-571-178
Mittelneufnach|Gemeinde|Augsburg|Schwaben|09-772-179
Mittelsinn|Gemeinde|Main-Spessart|Unterfranken|09-677-159
Mittelstetten|Gemeinde|Fürstenfeldbruck|Oberbayern|09-179-137
Mittenwald|Markt|Garmisch-Partenkirchen|Oberbayern|09-180-123
Mitterfels|Markt|Straubing-Bogen|Niederbayern|09-278-151
Mitterskirchen|Gemeinde|Rottal-Inn|Niederbayern|09-277-134
Mitterteich|Stadt|Tirschenreuth|Oberpfalz|09-377-141
Mitwitz|Markt|Kronach|Oberfranken|09-476-154
Mödingen|Gemeinde|Dillingen an der Donau|Schwaben|09-773-147
Möhrendorf|Gemeinde|Erlangen-Höchstadt|Mittelfranken|09-572-142
Mömbris|Markt|Aschaffenburg|Unterfranken|09-671-143
Mömlingen|Gemeinde|Miltenberg|Unterfranken|09-676-140
Mönchberg|Markt|Miltenberg|Unterfranken|09-676-141
Mönchsdeggingen|Gemeinde|Donau-Ries|Schwaben|09-779-184
Mönchsroth|Gemeinde|Ansbach|Mittelfranken|09-571-179
Monheim|Stadt|Donau-Ries|Schwaben|09-779-186
Moorenweis|Gemeinde|Fürstenfeldbruck|Oberbayern|09-179-138
Moos|Gemeinde|Deggendorf|Niederbayern|09-271-135
Moosach|Gemeinde|Ebersberg|Oberbayern|09-175-128
Moosbach|Markt|Neustadt an der Waldnaab|Oberpfalz|09-374-137
Moosburg an der Isar|Stadt|Freising|Oberbayern|09-178-143
Moosinning|Gemeinde|Erding|Oberbayern|09-177-130
